weight,density,highest degree,runtime,stretch
200737,0.23603603603603604,32,2588,91.875
208082,0.2273873873873874,31,1948,263.35714285714283
219191,0.23531531531531533,32,1977,225.33333333333334
209475,0.2363963963963964,40,2016,236.1818181818182
229359,0.23675675675675675,38,2170,241.75
211094,0.230990990990991,31,1996,374.25
242063,0.2472072072072072,34,2042,104.53571428571429
224847,0.24252252252252252,32,2041,193.2
242497,0.24396396396396397,29,2004,145.5
219598,0.23063063063063063,35,1975,131.0
