weight,density,highest degree,runtime,stretch
31430,0.41333333333333333,23,27,17.38235294117647
32994,0.43,19,23,23.467532467532468
31577,0.42333333333333334,20,24,42.65217391304348
30405,0.42,16,28,11.705357142857142
31086,0.39,15,22,12.35064935064935
34685,0.4533333333333333,17,28,10.42741935483871
29213,0.38333333333333336,20,26,11.727272727272727
37676,0.44333333333333336,24,39,9.398148148148149
34667,0.4266666666666667,24,21,10.576271186440678
28500,0.38333333333333336,20,22,7.543307086614173
