weight,density,highest degree,runtime,stretch,jumpstretch
66822,0.29061224489795917,26,114,98.75,6.0
82858,0.3110204081632653,36,88,57.77272727272727,6.0
61669,0.28653061224489795,35,121,35.44117647058823,6.0
70843,0.3020408163265306,38,86,28.238095238095237,5.0
81331,0.32081632653061226,36,90,56.1764705882353,5.0
66582,0.2897959183673469,31,150,23.857142857142858,6.0
63210,0.2857142857142857,29,130,51.5,5.0
82251,0.31755102040816324,36,137,35.38095238095238,5.0
77870,0.3004081632653061,40,133,62.5,5.0
60374,0.283265306122449,42,155,72.72727272727273,7.0
