weight,density,highest degree,runtime,stretch,jumpstretch
43097,0.01778894472361809,9,13133,Infinity,Infinity
38837,0.01763819095477387,9,13370,Infinity,Infinity
40376,0.017587939698492462,11,13454,Infinity,Infinity
40049,0.017487437185929648,10,12738,Infinity,Infinity
39864,0.018090452261306532,9,12612,Infinity,Infinity
38231,0.017889447236180904,8,13440,Infinity,Infinity
45996,0.017587939698492462,8,12752,Infinity,Infinity
42764,0.01763819095477387,7,14052,Infinity,Infinity
35958,0.017386934673366834,8,12810,Infinity,Infinity
36895,0.017487437185929648,8,13588,Infinity,Infinity
