weight,density,highest degree,runtime,stretch
34781,0.4266666666666667,19,19,13.4625
24678,0.36333333333333334,22,22,12.46938775510204
27518,0.3566666666666667,14,21,14.705882352941176
32160,0.41333333333333333,20,20,10.909090909090908
27833,0.38,23,21,30.05263157894737
30113,0.4033333333333333,17,21,18.875
24893,0.3466666666666667,24,18,11.926829268292684
25790,0.35333333333333333,17,17,17.925925925925927
39781,0.4533333333333333,20,19,20.74074074074074
30926,0.38666666666666666,17,20,20.308641975308642
