weight,density,highest degree,runtime,stretch
195055,0.2136936936936937,29,1686,297.6666666666667
182328,0.2064864864864865,31,1415,143.76923076923077
179538,0.19243243243243244,26,1521,112.38709677419355
183867,0.19783783783783784,30,1488,291.0
201270,0.21225225225225225,25,1477,106.57894736842105
187461,0.20756756756756756,26,1341,1009.0
189781,0.2154954954954955,28,1402,193.1875
182126,0.2,29,1334,76.85
197020,0.2064864864864865,25,1355,315.35714285714283
159647,0.1881081081081081,28,1279,170.0
