weight,density,highest degree,runtime,stretch,jumpstretch
162959,0.29405405405405405,53,685,49.08108108108108,5.0
157953,0.2818018018018018,55,518,Infinity,6.0
176885,0.2983783783783784,52,734,92.25,7.0
171882,0.2904504504504504,45,558,83.07142857142857,7.0
186732,0.29693693693693696,63,463,248.0,5.0
188322,0.3027027027027027,60,537,75.0,5.0
161664,0.2781981981981982,52,609,158.1818181818182,6.0
165508,0.2857657657657658,45,653,Infinity,6.0
153296,0.2745945945945946,56,755,115.75,6.0
173186,0.2918918918918919,53,529,96.66666666666667,Infinity
