weight,density,highest degree,runtime,stretch,jumpstretch
25391,0.020164203612479475,9,8226,Infinity,Infinity
27114,0.019835796387520525,7,7768,Infinity,Infinity
45895,0.021018062397372743,8,8029,Infinity,Infinity
22054,0.02108374384236453,8,9031,Infinity,Infinity
35181,0.019770114942528734,9,8023,Infinity,Infinity
28393,0.020229885057471263,10,7573,Infinity,Infinity
27101,0.022528735632183907,9,8936,Infinity,Infinity
32582,0.01917898193760263,7,7782,Infinity,Infinity
38643,0.020032840722495896,9,8628,Infinity,Infinity
30135,0.019770114942528734,9,7915,Infinity,Infinity
