weight,density,highest degree,runtime,stretch
1878,0.04326530612244898,5,125,8.755555555555556
2065,0.04326530612244898,5,123,7.714285714285714
1979,0.04326530612244898,4,119,110.5
1564,0.04326530612244898,5,131,9.333333333333334
2497,0.045714285714285714,5,127,Infinity
3733,0.04653061224489796,7,126,12.573770491803279
2932,0.04326530612244898,6,125,Infinity
1775,0.044081632653061226,5,149,4.716981132075472
2549,0.044897959183673466,7,192,Infinity
2341,0.044081632653061226,7,130,47.95454545454545
