weight,density,highest degree,runtime,stretch
1734,0.04244897959183674,5,131,8.783333333333333
2511,0.045714285714285714,6,129,28.846153846153847
2244,0.044897959183673466,6,125,33.666666666666664
1761,0.04326530612244898,6,126,6.642857142857143
1984,0.044081632653061226,5,129,28.944444444444443
3941,0.04653061224489796,6,125,Infinity
2811,0.044897959183673466,5,136,67.875
2627,0.045714285714285714,6,130,Infinity
1999,0.04244897959183674,5,124,7.296296296296297
2635,0.044897959183673466,6,125,23.291666666666668
