weight,density,highest degree,runtime,stretch,jumpstretch
29774,0.02308724832214765,7,4827,Infinity,Infinity
28548,0.0229082774049217,7,5246,Infinity,Infinity
30459,0.022997762863534676,7,4920,Infinity,Infinity
25421,0.02272930648769575,7,4589,Infinity,Infinity
28297,0.0229082774049217,7,4798,Infinity,Infinity
29101,0.023266219239373602,8,4954,Infinity,Infinity
34691,0.02371364653243848,12,5043,Infinity,Infinity
26652,0.02272930648769575,8,4890,Infinity,Infinity
30883,0.022818791946308724,9,4590,Infinity,Infinity
31506,0.022997762863534676,8,4999,Infinity,Infinity
