weight,density,highest degree,runtime,stretch,jumpstretch
87177,0.13405405405405404,21,1435,Infinity,Infinity
111483,0.13837837837837838,21,1370,320.25,9.0
63518,0.11747747747747747,17,1355,66.47619047619048,Infinity
76916,0.10846846846846847,14,1320,911.5,9.0
76269,0.13225225225225226,15,1681,174.5,10.0
53092,0.11279279279279279,15,1053,265.2,11.0
83037,0.12,17,1245,234.14285714285714,10.0
65900,0.10486486486486486,18,1187,Infinity,Infinity
102278,0.13261261261261262,21,1244,179.58333333333334,10.0
92032,0.1336936936936937,20,1447,273.5,Infinity
