weight,density,highest degree,runtime,stretch,jumpstretch
897608,0.16909236947791165,149,18658,1041.5,12.0
763479,0.1570120481927711,150,18164,Infinity,12.0
851974,0.1660722891566265,152,17789,434.0,12.0
898442,0.16613654618473894,137,16746,Infinity,13.0
856907,0.1642409638554217,138,17968,284.42857142857144,14.0
863811,0.16639357429718876,172,18540,Infinity,10.0
905621,0.1691566265060241,149,18524,Infinity,11.0
900188,0.16947791164658635,159,17619,431.75,11.0
856510,0.1640160642570281,155,18410,1096.0,11.0
882011,0.16796787148594378,120,18895,1071.0,10.0
