weight,density,highest degree,runtime,stretch,jumpstretch
388665,0.1865353037766831,93,7666,351.25,9.0
403715,0.18535303776683087,92,7364,235.0,9.0
402519,0.18732348111658456,108,7331,Infinity,10.0
450800,0.19527093596059114,99,7877,Infinity,10.0
403253,0.18403940886699507,95,7577,120.81818181818181,Infinity
432637,0.1883743842364532,124,6990,336.25,11.0
434139,0.1877832512315271,123,7209,Infinity,9.0
415456,0.18857142857142858,98,7172,226.66666666666666,10.0
425315,0.1904105090311987,92,8019,293.0,10.0
454209,0.19527093596059114,125,7805,498.5,9.0
