weight,density,highest degree,runtime,stretch
76203,0.22612244897959183,25,436,82.19047619047619
101900,0.2546938775510204,23,444,55.19607843137255
83443,0.2342857142857143,20,411,52.35
113267,0.2726530612244898,23,453,85.16666666666667
95829,0.2587755102040816,24,450,71.05263157894737
95265,0.2595918367346939,28,458,415.1666666666667
99735,0.26285714285714284,21,482,54.46666666666667
86576,0.23183673469387756,20,411,123.875
94682,0.2595918367346939,29,453,92.78571428571429
80306,0.2522448979591837,26,461,47.2
