weight,density,highest degree,runtime,stretch
3462,0.03567567567567568,7,406,17.041666666666668
3220,0.035315315315315315,7,419,21.133333333333333
5892,0.042522522522522525,7,481,30.5
10893,0.05153153153153153,11,531,38.82857142857143
3951,0.037477477477477476,7,422,Infinity
2836,0.034594594594594595,6,398,13.107142857142858
5194,0.04108108108108108,7,460,Infinity
8555,0.0436036036036036,9,502,56.541666666666664
4899,0.036756756756756756,8,426,35.333333333333336
5466,0.04144144144144144,7,472,56.44444444444444
