weight,density,highest degree,runtime,stretch
87408,0.3216326530612245,44,251,41.04545454545455
92173,0.3330612244897959,36,268,104.33333333333333
92527,0.32816326530612244,41,224,42.666666666666664
75369,0.3110204081632653,37,236,68.22222222222223
90486,0.31673469387755104,39,232,44.22222222222222
82370,0.3224489795918367,38,234,24.424242424242426
78118,0.3093877551020408,37,258,30.5
84576,0.3093877551020408,44,255,53.09090909090909
70601,0.31020408163265306,41,281,35.05263157894737
77390,0.31265306122448977,42,235,25.322580645161292
