weight,density,highest degree,runtime,stretch,jumpstretch
33957,0.019704433497536946,10,7727,Infinity,Infinity
31967,0.019507389162561575,9,7717,Infinity,Infinity
36975,0.019704433497536946,7,7572,Infinity,Infinity
35100,0.019901477832512317,9,7931,Infinity,Infinity
35714,0.019770114942528734,10,7364,Infinity,Infinity
37845,0.019835796387520525,9,8157,Infinity,Infinity
34159,0.020098522167487684,8,7467,Infinity,Infinity
34880,0.019901477832512317,7,8020,Infinity,Infinity
37448,0.020098522167487684,8,7236,Infinity,Infinity
33904,0.019835796387520525,7,8222,Infinity,Infinity
