weight,density,highest degree,runtime,stretch,jumpstretch
238166,0.06579365079365079,29,87545,Infinity,19.0
239975,0.06742063492063492,32,89801,Infinity,19.0
244313,0.06912698412698412,33,92702,Infinity,18.0
274689,0.07011904761904762,31,88245,1582.0,19.0
308553,0.06988095238095238,34,88114,Infinity,19.0
266267,0.06837301587301588,31,92652,Infinity,Infinity
265067,0.06781746031746032,30,87754,Infinity,20.0
282628,0.07007936507936507,33,92585,3270.0,18.0
247979,0.06928571428571428,31,92926,1942.0,20.0
231248,0.0661111111111111,30,93575,1508.0,22.0
