weight,density,highest degree,runtime,stretch,jumpstretch
842142,0.18631325301204818,179,35171,918.0,10.0
737070,0.17342971887550201,180,31543,308.5,11.0
825129,0.1837429718875502,163,34360,Infinity,10.0
829982,0.18059437751004015,194,33326,341.3333333333333,11.0
817166,0.18120481927710844,164,35988,Infinity,11.0
860015,0.18599196787148595,175,33845,Infinity,10.0
846246,0.18624899598393574,119,34922,Infinity,11.0
792806,0.18088353413654618,173,32495,Infinity,10.0
855212,0.18676305220883535,201,36141,502.5,11.0
843815,0.18380722891566265,190,32316,268.0,Infinity
