weight,density,highest degree,runtime,stretch
2888,0.04653061224489796,4,147,122.66666666666667
3431,0.04653061224489796,5,149,Infinity
2082,0.045714285714285714,6,147,26.0
2658,0.044897959183673466,5,142,26.636363636363637
2967,0.04653061224489796,5,206,Infinity
2671,0.04653061224489796,5,143,14.955555555555556
2375,0.044897959183673466,6,198,27.285714285714285
2464,0.045714285714285714,5,147,16.31111111111111
2774,0.04653061224489796,5,148,36.46666666666667
2997,0.045714285714285714,6,146,Infinity
