weight,density,highest degree,runtime,stretch,jumpstretch
25414,0.021655480984340045,7,5120,Infinity,Infinity
26450,0.023266219239373602,8,4421,Infinity,Infinity
28034,0.02237136465324385,8,4847,Infinity,Infinity
28114,0.02237136465324385,8,4824,Infinity,Infinity
33059,0.023176733780760628,10,5224,Infinity,Infinity
26879,0.02272930648769575,7,4627,Infinity,Infinity
24377,0.022639821029082775,7,4510,Infinity,Infinity
31419,0.022997762863534676,10,4753,Infinity,Infinity
30216,0.02272930648769575,9,5443,Infinity,Infinity
27704,0.0229082774049217,8,4852,Infinity,Infinity
