weight,density,highest degree,runtime,stretch
148659,0.25657657657657656,48,572,306.0
173860,0.26126126126126126,55,580,51.04
154055,0.2547747747747748,58,731,97.1
164474,0.25657657657657656,51,559,39.22222222222222
158056,0.2572972972972973,53,679,68.41176470588235
166208,0.26954954954954957,54,568,53.46666666666667
166673,0.2648648648648649,56,578,125.92307692307692
163679,0.25981981981981983,54,659,Infinity
163452,0.2609009009009009,53,695,473.5
146288,0.24468468468468468,54,721,44.06896551724138
