weight,density,highest degree,runtime,stretch
176614,0.25513513513513514,48,510,552.5
174348,0.25333333333333335,44,478,57.78378378378378
185537,0.26306306306306304,45,514,67.125
175168,0.2544144144144144,53,603,46.32727272727273
161384,0.2436036036036036,53,555,46.03030303030303
167145,0.2526126126126126,48,575,109.5625
198123,0.26666666666666666,48,581,61.18181818181818
167901,0.2508108108108108,45,584,38.75
190493,0.25765765765765763,43,554,60.19230769230769
145793,0.23315315315315316,49,461,81.66666666666667
