weight,density,highest degree,runtime,stretch
53383,0.22857142857142856,39,84,108.77777777777777
63775,0.23755102040816325,29,104,71.1
62887,0.2342857142857143,31,79,54.5
64651,0.24081632653061225,30,82,20.88235294117647
60236,0.23673469387755103,28,211,43.916666666666664
70897,0.26040816326530614,31,216,29.130434782608695
67700,0.26040816326530614,24,121,31.291666666666668
50122,0.22285714285714286,31,102,32.75
60596,0.2342857142857143,33,88,46.30434782608695
62739,0.2416326530612245,32,112,49.041666666666664
