weight,density,highest degree,runtime,stretch,jumpstretch
634513,0.13929661579296615,166,26502,1670.0,12.0
744852,0.14784339747843397,165,28826,Infinity,13.0
703871,0.14471134704711347,195,28389,Infinity,12.0
675584,0.14176509621765096,162,28049,Infinity,12.0
745652,0.14582614465826144,191,27141,Infinity,13.0
699052,0.14452554744525548,170,27417,Infinity,12.0
680772,0.1418978102189781,181,28034,Infinity,14.0
750616,0.146728599867286,171,25972,610.0,12.0
691936,0.14338420703384208,181,29027,405.3333333333333,13.0
688475,0.1430391506303915,171,28277,237.0,13.0
