weight,density,highest degree,runtime,stretch,jumpstretch
320433,0.20425806451612905,86,1660,477.0,9.0
295635,0.1992258064516129,56,1582,Infinity,8.0
288595,0.2023225806451613,71,1524,90.94736842105263,8.0
309400,0.2064516129032258,67,1395,Infinity,9.0
306228,0.20025806451612904,81,1391,285.25,8.0
327184,0.20670967741935484,82,1451,144.36363636363637,7.0
333882,0.20903225806451614,77,1566,Infinity,9.0
295934,0.1984516129032258,79,1441,1715.0,8.0
282653,0.1912258064516129,88,1575,1011.5,10.0
325161,0.20361290322580644,69,1503,150.4,7.0
