weight,density,highest degree,runtime,stretch
2781,0.052244897959183675,5,135,10.8
2249,0.05142857142857143,6,144,14.179487179487179
3098,0.04897959183673469,5,208,Infinity
2148,0.0473469387755102,5,166,47.833333333333336
2303,0.04979591836734694,6,129,12.310344827586206
1799,0.04816326530612245,5,136,5.756756756756757
2732,0.04979591836734694,5,134,11.26086956521739
1796,0.05142857142857143,6,142,11.088235294117647
3822,0.05795918367346939,7,176,19.8
1993,0.04897959183673469,5,172,22.047619047619047
