weight,density,highest degree,runtime,stretch
3454,0.045714285714285714,6,87,20.38235294117647
2243,0.04326530612244898,4,141,13.457142857142857
4407,0.045714285714285714,5,144,Infinity
3244,0.04326530612244898,6,96,29.54385964912281
3292,0.04653061224489796,6,164,Infinity
3830,0.044081632653061226,4,144,15.884057971014492
2426,0.044081632653061226,6,89,9.257142857142858
3933,0.044897959183673466,7,91,13.96938775510204
3014,0.045714285714285714,5,176,11.383333333333333
2803,0.044897959183673466,6,160,8.934782608695652
