weight,density,highest degree,runtime,stretch
60564,0.48,19,18,5.350943396226415
48365,0.44333333333333336,16,20,9.606936416184972
44064,0.41333333333333333,20,17,16.45762711864407
49047,0.4166666666666667,17,15,21.338709677419356
39006,0.38,17,18,26.357142857142858
40527,0.38666666666666666,20,17,26.869565217391305
32985,0.37666666666666665,17,22,19.0
43765,0.4166666666666667,17,22,12.86046511627907
47078,0.41333333333333333,16,19,45.888888888888886
44339,0.4266666666666667,15,19,16.210526315789473
