weight,density,highest degree,runtime,stretch
2948,0.044897959183673466,6,134,30.62264150943396
2507,0.044897959183673466,5,123,9.689655172413794
2773,0.044897959183673466,6,178,22.7
2895,0.044897959183673466,6,138,9.310344827586206
1827,0.044081632653061226,6,143,9.092592592592593
3288,0.044081632653061226,8,123,Infinity
3579,0.04653061224489796,5,193,35.57142857142857
1541,0.04163265306122449,5,117,Infinity
2469,0.044897959183673466,6,120,23.058823529411764
2612,0.045714285714285714,7,126,Infinity
