weight,density,highest degree,runtime,stretch
79782,0.22285714285714286,21,280,114.2
75798,0.20653061224489797,17,251,44.6551724137931
81482,0.2253061224489796,18,284,69.5
88988,0.22775510204081634,22,273,88.88235294117646
89336,0.23346938775510204,19,291,52.775510204081634
81294,0.20244897959183675,21,245,95.61111111111111
78580,0.2163265306122449,23,273,48.37777777777778
88835,0.22040816326530613,22,258,Infinity
87637,0.23346938775510204,18,287,33.932203389830505
65686,0.2057142857142857,20,337,67.18518518518519
