weight,density,highest degree,runtime,stretch,jumpstretch
357063,0.1025944170771757,36,40791,820.75,13.0
370851,0.10187192118226601,38,38220,1779.5,15.0
301565,0.0999671592775041,36,39435,Infinity,16.0
361624,0.100623973727422,36,38978,2276.5,14.0
368612,0.1058128078817734,36,39886,Infinity,14.0
276536,0.09727422003284072,34,41867,Infinity,15.0
340423,0.10239737274220033,42,40357,Infinity,13.0
370313,0.10443349753694581,41,38702,Infinity,13.0
343626,0.10233169129720854,35,41440,1246.0,14.0
359705,0.10318555008210181,36,37690,1242.0,14.0
