weight,density,highest degree,runtime,stretch
90257,0.3053061224489796,36,164,127.0
78288,0.27183673469387754,35,133,241.0
85701,0.28244897959183674,36,144,24.38095238095238
89627,0.3004081632653061,40,153,70.36666666666666
91744,0.2979591836734694,37,147,38.833333333333336
82539,0.28244897959183674,35,141,157.5
81780,0.276734693877551,31,166,35.92
87455,0.3004081632653061,39,195,21.29090909090909
82421,0.2889795918367347,27,158,91.11764705882354
88012,0.2922448979591837,33,156,30.035087719298247
