weight,density,highest degree,runtime,stretch,jumpstretch
3560,0.10333333333333333,6,26,7.435897435897436,Infinity
4009,0.10666666666666667,5,26,Infinity,Infinity
5852,0.11333333333333333,5,29,Infinity,Infinity
6945,0.12666666666666668,7,28,17.938144329896907,Infinity
3637,0.10333333333333333,5,25,Infinity,Infinity
5206,0.11,7,26,Infinity,Infinity
4177,0.11,5,28,16.693877551020407,Infinity
4402,0.11333333333333333,6,25,24.57894736842105,Infinity
4411,0.11333333333333333,6,26,Infinity,Infinity
4152,0.11666666666666667,5,26,Infinity,Infinity
