weight,density,highest degree,runtime,stretch,jumpstretch
567169,0.19170854271356783,127,13714,Infinity,11.0
551588,0.18979899497487437,116,13882,156.6,10.0
572439,0.18959798994974875,130,14167,Infinity,10.0
586625,0.1928643216080402,140,13736,Infinity,10.0
494806,0.18226130653266331,118,12300,Infinity,11.0
550786,0.19115577889447236,113,14495,Infinity,10.0
596702,0.1915075376884422,136,13265,421.0,9.0
606686,0.19306532663316583,132,13737,Infinity,11.0
568668,0.19040201005025126,133,13129,342.0,10.0
576577,0.1942211055276382,115,12699,Infinity,10.0
