weight,density,highest degree,runtime,stretch,jumpstretch
288544,0.03120603015075377,13,17968,Infinity,Infinity
184288,0.05005025125628141,26,36594,4080.0,Infinity
27222,0.028090452261306534,11,25594,Infinity,Infinity
31820,0.019095477386934675,9,20426,Infinity,Infinity
33945,0.01934673366834171,8,19014,Infinity,Infinity
209114,0.05281407035175879,22,34674,Infinity,20.0
22787,0.02050251256281407,9,21090,Infinity,Infinity
34442,0.018693467336683416,8,18316,Infinity,Infinity
27419,0.029447236180904522,13,25955,Infinity,Infinity
35775,0.019296482412060303,10,19243,Infinity,Infinity
