weight,density,highest degree,runtime,stretch
1307,0.13333333333333333,6,4,3.3902439024390243
1249,0.13333333333333333,3,3,3.5522388059701493
1593,0.13333333333333333,6,3,2.704225352112676
748,0.13333333333333333,3,4,2.053763440860215
1835,0.13333333333333333,4,4,2.161392405063291
1732,0.13333333333333333,3,3,3.501818181818182
1302,0.13333333333333333,4,3,3.335526315789474
1338,0.13333333333333333,4,3,3.1357142857142857
984,0.13333333333333333,4,3,1.722972972972973
826,0.13333333333333333,5,3,2.1370967741935485
