weight,density,highest degree,runtime,stretch,jumpstretch
328402,0.2862626262626263,60,1694,80.41666666666667,6.0
350688,0.2907070707070707,63,1939,141.0,6.0
371457,0.29858585858585857,69,1827,152.30769230769232,6.0
319932,0.281010101010101,71,1535,84.0,6.0
369501,0.3018181818181818,62,1896,53.0,5.0
300218,0.2737373737373737,63,1841,676.0,6.0
335219,0.28929292929292927,65,2021,60.0,6.0
382235,0.3018181818181818,75,2016,80.70588235294117,6.0
389729,0.3058585858585859,79,1794,72.38461538461539,7.0
339424,0.29393939393939394,67,1413,212.8,6.0
