weight,density,highest degree,runtime,stretch
2016,0.04326530612244898,7,100,10.735849056603774
1742,0.04244897959183674,4,146,6.9298245614035086
2749,0.04326530612244898,6,98,Infinity
2472,0.044081632653061226,5,176,Infinity
2719,0.045714285714285714,6,170,18.07547169811321
3475,0.044897959183673466,6,118,24.733333333333334
2472,0.044897959183673466,5,165,Infinity
3542,0.044897959183673466,4,179,20.26829268292683
2612,0.044081632653061226,6,152,Infinity
2419,0.044081632653061226,5,149,10.472222222222221
