weight,density,highest degree,runtime,stretch
1156,0.13333333333333333,4,3,2.946308724832215
1455,0.14285714285714285,5,2,6.654135338345864
1011,0.13333333333333333,3,3,2.9869281045751634
1231,0.13333333333333333,3,3,2.615740740740741
1826,0.13333333333333333,3,2,2.5918367346938775
1545,0.13333333333333333,4,2,3.5128205128205128
864,0.13333333333333333,3,3,3.582608695652174
688,0.13333333333333333,3,3,1.9817518248175183
858,0.13333333333333333,4,3,1.8333333333333333
852,0.13333333333333333,3,3,2.625668449197861
