weight,density,highest degree,runtime,stretch,jumpstretch
438323,0.20577996715927752,126,10716,Infinity,9.0
435042,0.20374384236453202,126,10629,Infinity,10.0
472587,0.2097208538587849,129,10700,164.75,10.0
462838,0.2097208538587849,117,10464,200.6,10.0
443635,0.20656814449917899,116,12019,463.0,9.0
444756,0.20788177339901479,105,10365,Infinity,9.0
505813,0.22239737274220034,116,11827,293.0,8.0
441556,0.20354679802955666,126,10339,143.0,9.0
468727,0.2096551724137931,111,10260,Infinity,11.0
431035,0.20525451559934318,113,9819,189.5,8.0
