weight,density,highest degree,runtime,stretch
156741,0.23423423423423423,50,492,423.3333333333333
156007,0.23603603603603604,48,495,51.25
162061,0.24432432432432433,49,510,119.81818181818181
160349,0.24468468468468468,45,500,36.92307692307692
154345,0.24036036036036035,44,489,107.6842105263158
149302,0.22414414414414413,46,506,125.75
155594,0.24144144144144145,46,521,142.7
173874,0.24216216216216216,45,509,154.25
145300,0.23243243243243245,53,514,224.2
153690,0.23891891891891892,36,498,46.333333333333336
