weight,density,highest degree,runtime,stretch,jumpstretch
1236041,0.20086746987951806,160,26548,251.4,9.0
1105382,0.19093975903614457,159,26308,Infinity,10.0
1233357,0.19929317269076305,162,28104,Infinity,9.0
1183134,0.19669076305220884,157,26266,Infinity,10.0
1222130,0.20038554216867469,154,27984,273.3333333333333,10.0
1151645,0.19235341365461847,147,24421,491.4,11.0
1185319,0.19669076305220884,137,27027,Infinity,9.0
1239725,0.19720481927710842,162,24910,Infinity,10.0
1261763,0.20228112449799196,156,28422,933.5,10.0
1126748,0.1941847389558233,166,27632,Infinity,9.0
