weight,density,highest degree,runtime,stretch
3472,0.044897959183673466,8,159,Infinity
3073,0.04244897959183674,5,108,Infinity
2262,0.044081632653061226,5,115,24.069767441860463
2356,0.044081632653061226,4,116,Infinity
2287,0.04653061224489796,5,130,11.070175438596491
2836,0.044897959183673466,6,122,Infinity
5425,0.044897959183673466,5,112,Infinity
2891,0.044897959183673466,4,269,14.583333333333334
2087,0.044081632653061226,5,177,6.933333333333334
3776,0.045714285714285714,6,211,46.42857142857143
