weight,density,highest degree,runtime,stretch
149308,0.25765765765765763,50,711,54.72727272727273
145047,0.2562162162162162,49,612,53.96
127216,0.2454054054054054,45,724,123.33333333333333
127378,0.24324324324324326,53,849,Infinity
133831,0.2508108108108108,59,825,98.0
130484,0.23891891891891892,65,714,58.90909090909091
140009,0.24936936936936938,60,709,39.142857142857146
123119,0.24324324324324326,56,743,232.0
129894,0.24576576576576575,49,693,71.41666666666667
139033,0.2572972972972973,59,697,117.33333333333333
