weight,density,highest degree,runtime,stretch,jumpstretch
4443,0.10333333333333333,5,24,Infinity,Infinity
5844,0.11666666666666667,5,28,Infinity,Infinity
5884,0.11,6,23,Infinity,Infinity
3948,0.11333333333333333,7,25,Infinity,Infinity
3759,0.10666666666666667,5,25,Infinity,Infinity
6242,0.11666666666666667,6,27,Infinity,Infinity
5091,0.11666666666666667,5,28,57.88,Infinity
5708,0.11666666666666667,10,27,Infinity,Infinity
5289,0.11666666666666667,6,27,Infinity,Infinity
5887,0.11,5,28,Infinity,Infinity
