weight,density,highest degree,runtime,stretch
74680,0.27510204081632655,31,114,38.642857142857146
81454,0.27591836734693875,37,120,67.33333333333333
76232,0.2742857142857143,32,124,252.14285714285714
89155,0.2922448979591837,32,123,49.94736842105263
74317,0.276734693877551,32,129,55.388888888888886
78308,0.2783673469387755,37,122,43.87096774193548
106262,0.30857142857142855,34,126,32.348837209302324
88606,0.29551020408163264,37,141,48.111111111111114
78882,0.28408163265306124,32,141,19.545454545454547
83692,0.28653061224489795,32,121,34.83783783783784
