weight,density,highest degree,runtime,stretch
136996,0.22774774774774775,50,415,79.42857142857143
133819,0.2227027027027027,45,430,69.33333333333333
152315,0.2363963963963964,43,416,68.15384615384616
135004,0.22774774774774775,44,474,38.0
137020,0.22666666666666666,42,457,70.1304347826087
164667,0.24288288288288287,48,517,Infinity
133425,0.22306306306306306,46,424,113.875
142260,0.22486486486486487,53,440,76.6
159119,0.24036036036036035,53,472,89.84210526315789
146332,0.23351351351351352,50,483,51.0
