weight,density,highest degree,runtime,stretch
1885,0.04326530612244898,5,129,15.961538461538462
3410,0.04653061224489796,5,199,42.5
2317,0.044897959183673466,6,198,12.333333333333334
2501,0.044897959183673466,5,200,25.0
1656,0.045714285714285714,5,148,11.696969696969697
1586,0.04326530612244898,5,149,6.587301587301587
3394,0.04653061224489796,5,199,34.130434782608695
3385,0.045714285714285714,6,241,Infinity
3443,0.045714285714285714,5,145,Infinity
4832,0.04653061224489796,7,229,90.97058823529412
