weight,density,highest degree,runtime,stretch,jumpstretch
881123,0.1771566265060241,178,26077,Infinity,10.0
837282,0.17622489959839358,166,25823,Infinity,11.0
851096,0.17567871485943776,146,25906,Infinity,10.0
864569,0.17503614457831326,165,26247,224.15384615384616,10.0
836137,0.17281927710843373,167,26480,722.0,11.0
930965,0.18223293172690763,180,25445,Infinity,12.0
855624,0.17641767068273093,177,26307,355.0,11.0
852647,0.17635341365461848,135,25738,Infinity,10.0
886923,0.17840963855421688,177,27411,Infinity,11.0
842396,0.17381526104417672,163,24804,1061.0,10.0
