weight,density,highest degree,runtime,stretch
1758,0.08666666666666667,4,9,2.8225806451612905
2491,0.08333333333333333,4,10,11.88679245283019
2696,0.08333333333333333,5,11,3.119047619047619
2038,0.08666666666666667,5,10,6.134020618556701
3592,0.09333333333333334,5,21,4.419491525423729
2894,0.09333333333333334,4,9,7.335820895522388
3051,0.09666666666666666,5,10,3.5061349693251533
2399,0.08333333333333333,4,9,2.9802631578947367
1363,0.09333333333333334,5,9,3.8783783783783785
2453,0.08666666666666667,5,8,2.2422145328719725
