weight,density,highest degree,runtime,stretch
64206,0.2710204081632653,36,138,31.153846153846153
68914,0.28408163265306124,37,145,21.454545454545453
61470,0.2653061224489796,33,130,33.5
67805,0.27591836734693875,39,150,32.90909090909091
64252,0.27510204081632655,29,143,28.18918918918919
53427,0.23755102040816325,28,129,65.8125
56724,0.2612244897959184,32,134,144.0909090909091
71874,0.2938775510204082,41,148,32.8235294117647
59316,0.2702040816326531,26,144,102.7
57396,0.25551020408163266,31,144,24.5
