weight,density,highest degree,runtime,stretch
140920,0.22486486486486487,38,490,147.33333333333334
179060,0.2569369369369369,50,549,78.29411764705883
169628,0.2518918918918919,52,549,52.733333333333334
173646,0.25405405405405407,46,569,67.84210526315789
162781,0.2436036036036036,43,572,194.33333333333334
140190,0.2317117117117117,54,548,96.16666666666667
149220,0.2410810810810811,43,542,110.79310344827586
176024,0.2536936936936937,51,581,53.416666666666664
172771,0.2554954954954955,53,552,50.57142857142857
177433,0.25657657657657656,40,534,41.76923076923077
