weight,density,highest degree,runtime,stretch
2385,0.04326530612244898,4,123,25.790697674418606
2357,0.045714285714285714,5,183,26.96
2782,0.044897959183673466,6,200,34.233333333333334
3620,0.045714285714285714,5,128,26.568181818181817
3327,0.044897959183673466,6,190,Infinity
3838,0.04653061224489796,7,223,16.392156862745097
3312,0.045714285714285714,5,129,57.1578947368421
2517,0.045714285714285714,5,180,42.666666666666664
3373,0.045714285714285714,6,203,20.435897435897434
2409,0.045714285714285714,8,182,15.622222222222222
