weight,density,highest degree,runtime,stretch,jumpstretch
299656,0.2686868686868687,63,1402,220.0,7.0
291357,0.277979797979798,70,1552,74.3529411764706,6.0
303018,0.27515151515151515,64,1421,131.0,7.0
341121,0.2915151515151515,75,1486,122.16666666666667,6.0
304608,0.27515151515151515,68,1398,170.0,8.0
269216,0.25373737373737376,60,1237,156.125,7.0
298002,0.27616161616161616,59,1459,173.66666666666666,7.0
303570,0.27656565656565657,74,1638,67.5,7.0
305088,0.27656565656565657,64,1498,517.0,7.0
303771,0.2688888888888889,64,1310,117.4,7.0
