weight,density,highest degree,runtime,stretch,jumpstretch
669633,0.10841269841269842,46,110132,4026.0,16.0
657567,0.10837301587301587,50,110711,1141.75,13.0
631628,0.10634920634920635,50,109304,Infinity,14.0
716744,0.10900793650793651,50,106863,1658.3333333333333,14.0
730902,0.11115079365079365,56,112362,Infinity,15.0
671316,0.10797619047619048,55,107898,Infinity,15.0
695751,0.11023809523809523,52,112226,Infinity,15.0
725451,0.11087301587301587,47,112258,Infinity,15.0
704064,0.11031746031746031,54,110644,Infinity,15.0
667373,0.10976190476190475,51,109957,Infinity,13.0
