weight,density,highest degree,runtime,stretch
1046,0.13333333333333333,4,3,2.4508196721311477
601,0.13333333333333333,4,4,2.8020833333333335
989,0.13333333333333333,3,3,2.1616161616161618
1549,0.14285714285714285,4,5,3.189944134078212
968,0.13333333333333333,4,3,3.528735632183908
837,0.14285714285714285,5,4,2.613861386138614
1054,0.13333333333333333,3,4,4.451807228915663
1900,0.1523809523809524,5,4,3.3693181818181817
1229,0.13333333333333333,4,4,4.471830985915493
875,0.13333333333333333,4,3,3.0676328502415457
