weight,density,highest degree,runtime,stretch
77135,0.27346938775510204,30,106,67.08333333333333
60936,0.24816326530612245,29,98,40.148148148148145
66565,0.2571428571428571,37,179,Infinity
71552,0.26693877551020406,34,121,67.75
63036,0.25551020408163266,33,128,73.42857142857143
70343,0.2595918367346939,37,113,43.0
75239,0.2612244897959184,33,112,95.93333333333334
83258,0.27591836734693875,33,103,288.3333333333333
75949,0.2702040816326531,36,130,24.75
75830,0.2742857142857143,37,134,58.666666666666664
