weight,density,highest degree,runtime,stretch,jumpstretch
667328,0.14096881220968813,167,27333,1199.0,12.0
640341,0.1384737889847379,166,27250,Infinity,14.0
673930,0.140836098208361,173,27788,1115.0,13.0
630627,0.13929661579296615,177,27702,Infinity,14.0
653741,0.13804910418049104,181,26654,Infinity,12.0
690453,0.14067684140676842,157,28467,Infinity,13.0
591519,0.13189117451891175,164,28520,921.0,14.0
638802,0.13836761778367618,168,27650,Infinity,14.0
655370,0.1385799601857996,156,29120,Infinity,13.0
665678,0.13937624419376243,189,28227,Infinity,13.0
