weight,density,highest degree,runtime,stretch,jumpstretch
176713,0.32432432432432434,55,950,105.4,5.0
164662,0.30882882882882884,54,907,74.2,6.0
200007,0.3272072072072072,55,958,346.0,5.0
180854,0.32288288288288286,54,1026,94.66666666666667,6.0
181163,0.31747747747747745,58,888,48.0,5.0
178587,0.323963963963964,55,1117,121.83333333333333,5.0
223106,0.3520720720720721,65,832,59.266666666666666,6.0
188487,0.3225225225225225,59,769,338.0,6.0
177365,0.3117117117117117,53,648,76.875,5.0
178574,0.31495495495495496,56,818,79.07692307692308,6.0
