weight,density,highest degree,runtime,stretch,jumpstretch
480102,0.22138702460850113,86,4314,857.0,8.0
497675,0.2283668903803132,106,4837,828.0,8.0
546788,0.2313199105145414,105,4356,Infinity,9.0
509454,0.23463087248322148,109,5445,81.125,8.0
453634,0.2276510067114094,105,5219,126.0,8.0
503386,0.232662192393736,114,5128,121.88888888888889,9.0
481095,0.22407158836689037,95,4722,145.33333333333334,7.0
525654,0.2305145413870246,104,4546,405.6666666666667,8.0
565313,0.23865771812080536,98,5411,181.5,9.0
487003,0.22299776286353468,101,5296,313.8,8.0
