weight,density,highest degree,runtime,stretch,jumpstretch
411641,0.16266331658291458,90,10196,173.75,11.0
394933,0.1623115577889447,105,9830,Infinity,10.0
400556,0.15954773869346733,112,10600,397.0,12.0
429973,0.16532663316582916,93,9859,Infinity,10.0
453379,0.16793969849246232,106,10203,Infinity,11.0
403005,0.1623115577889447,107,10556,227.4,10.0
396916,0.1614572864321608,94,9714,263.0,11.0
398553,0.16115577889447236,95,9926,Infinity,11.0
410472,0.16236180904522612,98,10255,313.0,12.0
406581,0.16316582914572864,98,10477,Infinity,13.0
