weight,density,highest degree,runtime,stretch,jumpstretch
39956,0.018190954773869346,9,21502,Infinity,Infinity
40675,0.018241206030150753,8,22902,Infinity,Infinity
45580,0.018693467336683416,10,20365,Infinity,Infinity
36169,0.017989949748743718,10,22018,Infinity,Infinity
49890,0.018944723618090454,10,21937,Infinity,Infinity
38818,0.018241206030150753,7,22369,Infinity,Infinity
42052,0.01844221105527638,10,21598,Infinity,Infinity
38119,0.01829145728643216,9,21796,Infinity,Infinity
43306,0.018743718592964823,10,20779,Infinity,Infinity
33776,0.017889447236180904,8,20990,Infinity,Infinity
